company,role,status,where,roles_open,band_low,band_high,opened,url
Hightouch,"Software Engineer, Applied AI Research",LIVE,Remote,1,180000,400000,2026-08-28,https://job-boards.greenhouse.io/hightouch/jobs/6174215004
Deeter Analytics,Machine Learning Engineer,LIVE,Remote,1,150000,200000,2026-08-19,https://jobs.ashbyhq.com/deeter-analytics/2c12339b-d302-427c-9a73-d825b4b942b0
IMC Trading,Graduate Performance Engineer,LIVE,Chicago,1,200000,200000,2026-08-27,https://job-boards.eu.greenhouse.io/imc/jobs/4823836101
OpenSesame,"Applied AI Engineer, Internal Automation",LIVE,Remote,1,150000,170000,2026-08-24,https://boards.greenhouse.io/opensesame/jobs/8152738?gh_jid=8152738
Defense Unicorns,Platform Engineer (FedD200/ FedD201/ FedD202),LIVE,Remote,1,123250,166750,2026-08-26,https://job-boards.greenhouse.io/defenseunicorns/jobs/5223131007
NTT Data,Junior Developer,LIVE,Remote,1,75168,156600,2026-08-31,https://careers-inc.nttdata.com/job/Arlington-%28REMOTE%29-Junior-Developer-VA-22201/1425007800/
Roo,Full Stack Engineer,LIVE,Remote,1,150000,150000,2026-08-28,https://job-boards.greenhouse.io/roo/jobs/5409912008
Globalization Partners,Fullstack AI Engineer ,LIVE,Remote,1,117600,147000,2026-08-27,https://job-boards.greenhouse.io/globalizationpartners/jobs/7979219003
Cribl,"Software Engineer, Edge",LIVE,Remote,1,145000,145000,2026-08-19,https://cribl.io/job-detail/?gh_jid=6144377004
Propelus,Forward Deployed Engineer (Immuware),LIVE,Remote,1,120000,140000,2026-08-25,https://jobs.ashbyhq.com/propelus/6f552974-fa6a-415e-b933-b4204072106f
Impiricus,Software Engineer (Full-stack),LIVE,Remote,1,110000,135000,2026-08-21,https://job-boards.greenhouse.io/impiricus/jobs/5397992008
Torc Robotics,"ML Engineer, I - MLOps Framework",LIVE,Remote,1,132400,132400,2026-08-25,https://job-boards.greenhouse.io/torcrobotics/jobs/8728723002
Dialpad,Forward Deployed Engineer,LIVE,Remote,1,124800,124800,2026-08-20,https://job-boards.greenhouse.io/dialpad/jobs/8734067002
Mercury,Software Engineer - Infrastructure,LIVE,Remote,1,122400,122400,2026-08-21,https://job-boards.greenhouse.io/mercury/jobs/6150432004
GitLab,"Backend Engineer, AI Engineering: Duo Chat",LIVE,Remote,2,115200,115200,2026-08-20,https://job-boards.greenhouse.io/gitlab/jobs/8698314002
Ontic,Analytics Engineer,LIVE,Remote,1,95000,105000,2026-08-27,https://jobs.ashbyhq.com/ontic/27d32707-54e2-47be-be62-376df6d2b0f3
Energy Solutions,"Software Engineer I (Chicago, IL - US)",LIVE,Chicago,1,80000,100000,2026-08-26,https://job-boards.greenhouse.io/energysolutions/jobs/5222430007
AbbVie,Software Engineer - AI Platform (Hybrid),LIVE,Chicago,4,,,2026-08-27,https://jobs.smartrecruiters.com/abbvie/3743990014900906
Alkami Technology,"Software Engineer, Activations (MANTL)",LIVE,Remote,2,,,2026-08-25,https://alkami.wd12.myworkdayjobs.com/en-US/alkami/job/US-Remote/Software-Engineer--Activations--MANTL-_JR-000850-1
Alpaca,Software Engineer - Advisory Suite,LIVE,Remote,1,,,2026-08-27,https://job-boards.greenhouse.io/alpaca/jobs/6145152004
Alteryx,Software Development Engineer in Test,LIVE,Remote,1,,,2026-08-19,https://alteryx.wd108.myworkdayjobs.com/en-US/AlteryxCareers/job/US---Remote/Software-Development-Engineer-in-Test_R11901
Amgen,"Machine Learning Engineer, AI Studio",LIVE,Remote,1,,,2026-08-24,https://amgen.wd1.myworkdayjobs.com/en-US/careers/job/United-States---Remote/Machine-Learning-Engineer--AI-Studio_R-250796
Antares Capital,"Vice President, Reliability Engineering & Technology Operations",LIVE,Chicago,1,,,2026-08-18,https://antares.wd5.myworkdayjobs.com/en-US/antares/job/Chicago/Solutions-Architect_R602
Argonne National Laboratory,Predoctoral Appointee – Python Developer,LIVE,Chicago,1,,,2026-08-17,https://argonne.wd1.myworkdayjobs.com/en-US/Argonne_Careers/job/Lemont-IL-USA/Predoctoral-Appointee---Python-Developer_423278
Arrive Logistics,Software Engineer,LIVE,Chicago,1,,,2026-08-27,https://jobs.lever.co/arrivelogistics/ed5b4a1d-619e-4b35-9c56-ece700a5282d
Barry-Wehmiller,Digital Innovation Software Engineering Leader,LIVE,Remote,1,,,2026-08-20,https://barrywehmiller.wd1.myworkdayjobs.com/en-US/BWCareers/job/Remote---USA/Digital-Innovation-Software-Engineering-Leader_R022528
BlackRock,"Associate, Software Engineer - SMA Solutions",LIVE,Chicago,1,,,2026-08-28,https://blackrock.wd1.myworkdayjobs.com/en-US/BlackRock_Professional/job/Chicago-IL/Associate--Software-Engineer---SMA-Solutions_R266216
Booz Allen,Software Engineer,LIVE,Chicago,2,,,2026-08-20,https://bah.wd1.myworkdayjobs.com/en-US/bah_jobs/job/Aurora-CO/Software-Engineer_R0247468
Broadcom Limited,R&D Software Engineer,LIVE,Chicago,1,,,2026-08-26,https://broadcom.wd1.myworkdayjobs.com/en-US/external_career/job/USA-IL-Lisle-Warrenville-Road/R-D-Software-Engineer_R025496
CACI,Software Engineer,LIVE,Chicago + Remote,2,,,2026-08-27,https://caci.wd1.myworkdayjobs.com/en-US/external/job/Aurora-CO-US/Software-Engineer_331223
Crowe,Machine Learning Software Engineer 1,LIVE,Chicago,1,,,2026-08-20,https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/Machine-Learning-Software-Engineer-1_R-71006
Cursor (Anysphere),"Software Engineer, User Operations",LIVE,Remote,1,,,2026-08-24,https://jobs.ashbyhq.com/cursor/1d6dbbb2-a5af-41a6-a70a-ca97690d9313
Dentsu,Backend Software Engineer (Python),LIVE,Remote,3,,,2026-08-26,https://dentsuaegis.wd3.myworkdayjobs.com/en-US/DAN_GLOBAL/job/USA--Remote--Texas--Central-Time/Backend-Software-Engineer--Python-_R1122826
Dexcom,Software Development Engineer 1,LIVE,Remote,1,,,2026-08-27,https://dexcom.wd1.myworkdayjobs.com/en-US/Dexcom/job/Remote---United-States/Software-Development-Engineer-1_JR120540
Fidelity National Information Services,Forward Deployed Engineer,LIVE,Remote,1,,,2026-08-27,https://fis.wd5.myworkdayjobs.com/en-US/searchjobs/job/AUS-MLBN-Virtual/Forward-Deployed-Engineer_JR0309019-1
Foundation Health,Software Engineer,LIVE,Remote,1,,,2026-08-25,https://jobs.ashbyhq.com/foundationhealthcareers/e5a46260-f26d-4c62-a641-defcc04db137
Guidehouse,AWS Lakehouse Data Engineer,LIVE,Remote,7,,,2026-08-31,https://guidehouse.wd1.myworkdayjobs.com/en-US/external/job/US---Remote-Any-location/AWS-Lakehouse-Data-Engineer_43865
Harris Computer,Software Developer,LIVE,Remote,1,,,2026-08-26,https://harriscomputer.wd3.myworkdayjobs.com/en-US/1/job/Remote---Missouri/Software-Developer_R0045664
Infleqtion,Quantum Integrations Engineer,LIVE,Chicago,4,,,2026-08-24,https://apply.workable.com/j/D61C329C09
Jones Lang LaSalle (JLL),Software Engineer,LIVE,Chicago,1,,,2026-08-28,https://jll.wd1.myworkdayjobs.com/en-US/jllcareers/job/Chicago-IL/Senior-Software-Engineer_REQ506323
Motorola,Software Engineer,LIVE,Chicago,1,,,2026-08-28,https://motorolasolutions.wd5.myworkdayjobs.com/en-US/Careers/job/Schaumburg-IL/Software-Engineer_R67582
